Action Required,SKU number,Product Barcode,Product Title (ENGLISH),Product Title (MALAY),Product Title (CHINESE),Brand (EN),Manufacturer / Principal (EN),Image URL (Google Drive Link),Product Price (RM),Limit on Item per checkout,Child Category (EN),Is Active?,Tags,Product Description (EN),Product Description (MY),Product Description (CN),,,,,,,,,,
Add New Item,50503060353,9556001206039,MAGGI 2MIN ASAM LAKSA 6 x 78G,,,MAGGI,MAGGI,,6.30,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,50503060354,9556001276629,MAGGI MI GORENG CILI KAMPUNG 5 x 78G,,,MAGGI,MAGGI,,7.40,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303030001,9556156000063,CINTAN CHICKEN FLAVOUR 5 x 75G,,,CINTAN,CINTAN,,4.90,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303030003,9556156001695,CINTAN SPICY MEE GORENG 5 x 75G,,,CINTAN,CINTAN,,5.70,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303030252,9556156000032,CINTAN ALA INDONESIA 5 x 78G,,,CINTAN,CINTAN,,5.70,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303030256,9556156000049,CINTAN SEAFOOD ASLI 5 x 75G,,,CINTAN,CINTAN,,4.50,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,30303088,9556156000056,CINTAN CURRY 5 x 75G,,,CINTAN,CINTAN,,4.90,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060252,9556156006195,CINTAN TOM YAM 5 x 75G,,,CINTAN,CINTAN,,5.70,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303160620,9556156045705,CINTAN MI VEGE CURRY 5 x 71G,,,CINTAN,CINTAN,,5.70,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303160621,9556156000292,CINTAN MI VEGETARIAN 5 x 72G,,,CINTAN,CINTAN,,5.70,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303030255,9556156053755,CINTAN JUMBO INSTANT NOODLES 650G,,,CINTAN,CINTAN,,6.00,,Cooking & Baking > Noodles & Pasta > Cooking Noodles,1,,,,,,,,,,,,,,
Add New Item,303030002,9556156049871,CINTAN MI NON FRIED 550G,,,CINTAN,CINTAN,,5.50,,Cooking & Baking > Noodles & Pasta > Cooking Noodles,1,,,,,,,,,,,,,,
